model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain
crossvit_9_240,8553296,25.435111424,2.298478592,0.147400704,1.883847168,0.00482362445,0.711484606372,3.2727179527282715,0,0.527593085106383,1.6917010307312013,0.69169061302682,0.4767287234042553,0.4674202127659574,0.4903590425531915,0.4753989361702128,0.4943484042553192,0.4783909574468085,0.4870345744680851,0.4757313829787234,0.4767287234042553,0
fbnetv3_b,8598464,25.435111424,4.009754624,0.12582656,3.753330688,0.004608329429,0.679728590808,3.0929832458496094,0,0.4833776595744681,1.3763611316680908,0.9449233716475096,0.5445478723404256,0.5325797872340425,0.6087101063829787,0.5777925531914894,0.5731382978723404,0.5904255319148937,0.569813829787234,0.5867686170212766,0.5319148936170213,0
resnet14t,10081632,25.435111424,2.487222272,0.153035264,2.107773952,0.003373506765,0.497592247872,2.45088529586792,0,0.5741356382978723,1.1962144374847412,0.9956896551724138,0.6033909574468085,0.613031914893617,0.5847739361702128,0.5874335106382979,0.6063829787234043,0.5990691489361702,0.5475398936170213,0.6027260638297872,0.5831117021276596,0
seresnext26ts,10388064,25.435111424,4.821352448,0.154210816,3.995712512,0.00765400101,1.128965148987,4.815703630447388,0,0.5013297872340425,2.6690295457839968,0.9913793103448276,0.6200132978723404,0.617686170212766,0.5927526595744681,0.6223404255319149,0.597406914893617,0.574468085106383,0.6206781914893617,0.5997340425531915,0.6043882978723404,0
gcresnext26ts,10476600,25.435111424,4.712300544,0.156586496,4.000300032,0.007674242582,1.131950780771,4.819372892379761,0,0.5555186170212766,2.665051484107971,0.9892241379310344,0.585438829787234,0.6000664893617021,0.585438829787234,0.5701462765957447,0.5997340425531915,0.5877659574468085,0.5990691489361702,0.5920877659574468,0.6123670212765957,0
eca_botnext26ts_256,10593301,25.435111424,4.8234496,0.158931456,4.027185664,0.008653122208,1.276335525722,5.4642720222473145,0,0.5272606382978723,2.798991298675537,0.9956896551724138,0.5295877659574468,0.5880984042553191,0.5970744680851063,0.5571808510638298,0.6269946808510638,0.6003989361702128,0.5957446808510638,0.5837765957446809,0.5940824468085106,0
bat_resnext26ts,10731200,25.435111424,5.297405952,0.160735744,4.504082432,0.008821971052,1.305651715645,5.609144687652588,0,0.585438829787234,3.043912720680237,0.9827586206896552,0.570811170212766,0.5681515957446809,0.6180186170212766,0.6303191489361702,0.5871010638297872,0.632313829787234,0.6456117021276596,0.6273271276595744,0.6336436170212766,0
bat_resnext26ts,10731200,25.435111424,5.297405952,0.160735744,4.504082432,0.008878200451,1.313973666781,5.6258463859558105,0,0.585438829787234,3.048845624923706,0.9827586206896552,0.570811170212766,0.5681515957446809,0.6180186170212766,0.6303191489361702,0.5871010638297872,0.632313829787234,0.6456117021276596,0.6273271276595744,0.6336436170212766,0
lambda_resnet26rpt_256,10988688,25.435111424,6.729760768,0.166514176,5.95629568,0.007801286716,1.154590433991,4.958142042160034,0,0.5206117021276596,2.535319757461548,0.9665948275862069,0.520279255319149,0.5438829787234043,0.5618351063829787,0.5724734042553191,0.5581781914893617,0.5684840425531915,0.5811170212765957,0.5821143617021277,0.5575132978723404,0
resnet18d,11708744,25.435111424,1.715470336,0.201096192,1.464568832,0.002703096577,0.400058293456,2.2186062335968018,0,0.5255984042553191,1.0863799333572388,0.9978448275862069,0.5259308510638298,0.5555186170212766,0.5591755319148937,0.5279255319148937,0.5841090425531915,0.5804521276595744,0.5851063829787234,0.5987367021276596,0.5970744680851063,0
halonet26t,12480288,25.435111424,3.720347648,0.190034432,3.022461952,0.005793732777,0.857472450924,3.918121337890625,0,0.46875,1.9595028400421144,0.959051724137931,0.5654920212765957,0.5262632978723404,0.6053856382978723,0.589095744680851,0.5910904255319149,0.6382978723404256,0.5924202127659575,0.613031914893617,0.6073803191489362,0
botnet26t_256,12488672,25.435111424,3.79584512,0.189510144,3.033696256,0.005608747175,0.83009458189,3.819563627243042,0,0.503656914893617,1.922242856025696,0.9821599616858238,0.538563829787234,0.6003989361702128,0.6269946808510638,0.6409574468085106,0.597406914893617,0.5947473404255319,0.6150265957446809,0.6000664893617021,0.6133643617021277,0
dpn68,12611602,25.435111424,4.48790528,0.197716992,4.219797504,0.008820115006,1.336247423339,5.759330034255981,0,0.5255984042553191,2.658779501914978,0.967073754789272,0.6163563829787234,0.6180186170212766,0.6273271276595744,0.6183510638297872,0.6432845744680851,0.6422872340425532,0.6402925531914894,0.6456117021276596,0.6662234042553191,0
dpn68b,12611602,25.435111424,4.649385984,0.196635648,4.250206208,0.008765052893,1.327905513269,5.74024772644043,0,0.5651595744680851,2.715293455123901,0.9665948275862069,0.573470744680851,0.59375,0.5831117021276596,0.5997340425531915,0.5688164893617021,0.6160239361702128,0.6070478723404256,0.5874335106382979,0.6236702127659575,0
gc_efficientnetv2_rw_t,13677713,25.435111424,6.083837952,0.22280448,5.538115072,0.007717191326,1.169154485946,4.9170801639556885,0,0.5216090425531915,2.2579281330108643,0.9978448275862069,0.5595079787234043,0.5412234042553191,0.5435505319148937,0.538563829787234,0.5465425531914894,0.5488696808510638,0.5511968085106383,0.5435505319148937,0.5644946808510638,0
