model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain,type,efficient,dataset,pen
resnet32ts,17963616,25.435111424,4.90733568,0.31247616,4.286032896,0.030522868545,1.602450598634,19.33935856819153,0,0.7474798387096774,1.4672508239746094,0.985587899543379,0.7878024193548387,0.8140120967741935,0.8220766129032258,0.8019153225806451,0.7983870967741935,0.8296370967741935,0.8004032258064516,0.8225806451612904,0.8356854838709677,1.0,CNN,0,derma_pt,0.746080142374334
cspresnext50,20569896,25.435111424,5.58891008,0.343492096,5.199911936,0.038731015949,2.052743845323,24.128600358963013,0,0.8261088709677419,1.834594130516052,0.9861586757990868,0.8175403225806451,0.7883064516129032,0.8024193548387096,0.7993951612903226,0.8331653225806451,0.8578629032258065,0.8588709677419355,0.8452620967741935,0.859375,1.0,CNN,0,derma_pt,0.7457269928799338
bat_resnext26ts,10731200,25.435111424,5.226102784,0.182175232,4.521063424,0.036687131997,1.944417995856,22.73440837860108,0,0.8180443548387096,2.0934509515762327,0.990439497716895,0.8195564516129032,0.8316532258064516,0.8432459677419355,0.8356854838709677,0.8553427419354839,0.8170362903225806,0.8528225806451613,0.8634072580645161,0.8487903225806451,1.0,Other,0,derma_pt,0.7417183383401647
gernet_l,31078280,25.435111424,2.701131776,0.509598208,2.37111296,0.027369435937,1.423210668721,17.34528660774231,0,0.7636088709677419,1.279450535774231,0.9713138899846708,0.7787298387096774,0.7772177419354839,0.8125,0.7988911290322581,0.8074596774193549,0.7348790322580645,0.8130040322580645,0.8125,0.8210685483870968,1.0,CNN,1,derma_pt,0.7412417366550519
gc_efficientnetv2_rw_t,13677713,25.435111424,6.088032256,0.245718528,5.555784192,0.036697176234,1.908253164157,22.92024874687195,0,0.8407258064516129,1.6005716562271115,0.9840182648401826,0.8039314516129032,0.8336693548387096,0.8503024193548387,0.842741935483871,0.8513104838709677,0.8508064516129032,0.8256048387096774,0.875,0.8467741935483871,1.0,Other,1,derma_pt,0.7399309824175466
cs3darknet_focus_l,21151720,25.435111424,3.812622336,0.371070464,3.558042624,0.027589736238,1.43466628436,17.29759192466736,0,0.7741935483870968,1.3357751369476318,0.9838755707762558,0.7893145161290323,0.797883064516129,0.8079637096774194,0.8140120967741935,0.8039314516129032,0.8220766129032258,0.8130040322580645,0.8235887096774194,0.8190524193548387,1.0,CNN,0,derma_pt,0.7388434312924527
dpn68b,12611602,25.435111424,4.628414464,0.220248064,4.265887744,0.041638116767,2.186001130283,26.2539176940918,0,0.8069556451612904,1.887672233581543,0.983019406392694,0.8225806451612904,0.7862903225806451,0.8407258064516129,0.8412298387096774,0.8523185483870968,0.8729838709677419,0.8538306451612904,0.8523185483870968,0.8563508064516129,1.0,CNN,0,derma_pt,0.7357990902809995
seresnet33ts,19779200,25.435111424,5.1380224,0.347655168,4.50507008,0.03283968809,1.724083624703,20.43529343605041,0,0.8044354838709677,1.5444474935531616,0.9811643835616438,0.8049395161290323,0.8230846774193549,0.8316532258064516,0.8361895161290323,0.8422379032258065,0.8180443548387096,0.8407258064516129,0.8321572580645161,0.8306451612903226,1.0,Other,0,derma_pt,0.7355934482832298
cs3sedarknet_l,21913592,25.435111424,4.710203392,0.382505984,4.062101504,0.031051814798,1.676797999114,19.72119140625,0,0.8004032258064516,1.4880963563919067,0.9775924287974562,0.7918346774193549,0.7696572580645161,0.8170362903225806,0.8064516129032258,0.8235887096774194,0.7938508064516129,0.8402217741935484,0.8245967741935484,0.8240927419354839,1.0,Other,1,derma_pt,0.7343658669977271
gcresnext26ts,10476600,25.435111424,4.716494848,0.177501696,4.017281024,0.031087040958,1.663156691269,19.546283721923828,0,0.7817540322580645,1.8536368370056155,0.9805797980800612,0.8261088709677419,0.8165322580645161,0.8417338709677419,0.8286290322580645,0.8412298387096774,0.8387096774193549,0.8417338709677419,0.8371975806451613,0.8235887096774194,1.0,Other,0,derma_pt,0.7338260739773532
