model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain,type,efficient,dataset,pen,conv_idx,best_test,energy_conv,time_conv,co2_conv,E_n,pepr_e,C_n,pepr_c,T_n,pepr_t,pepr_m,cnn,pepr_t`
hardcorenas_a,5260232,25.435111424,2.350907392,0.0822272,2.089581056,0.018172236396,1.035817474546,11.2712399959564,0,0.575797872340426,0.85634868144989,0.920664612676056,0.638962765957447,0.635970744680851,0.617021276595745,0.606050531914894,0.649601063829787,0.644281914893617,0.650265957446808,0.628656914893617,0.600398936170213,1,Other,1,derma_pt,0.5603327972048981,8,0.650265957446808,2.2715295495000003,1.40890499949455,0.12947718431825,0.004729863117402825,0.6472047674876609,0.004147702440374104,0.6475799883487963,0.004330417456873033,0.6439810579850326,0.6272230919587157,False,0.6474621759374635
efficientnet_b0,5288548,25.435111424,4.527751168,0.108824064,3.88640256,0.02168154435,1.27921111664,13.7132513523102,0,0.823084677419355,0.91103413105011,0.979880136986301,0.834173387096774,0.823588709677419,0.830645161290323,0.817540322580645,0.836189516129032,0.839717741935484,0.853326612903226,0.862399193548387,0.852822580645161,1,CNN,1,derma_pt,0.7857851867292561,9,0.862399193548387,2.4090604833333336,1.523694594701133,0.1421345685155555,0.0052733181599061985,0.8578753439183664,0.004893674411180771,0.8581994448852625,0.005066022313877957,0.8533640828913172,0.7571721733048057,True,0.8580522815436132
fbnetc_100,5572200,25.435111424,3.070230528,0.100230656,2.377075712,0.018474631402,1.08076593701,11.921498298645,0,0.808467741935484,0.826724338531494,0.969178082191781,0.824092741935484,0.825604838709677,0.815020161290323,0.842741935483871,0.84375,0.830141129032258,0.830141129032258,0.84375,0.852822580645161,1,CNN,1,derma_pt,0.7950287242762636,10,0.852822580645161,1.8474631402,1.1921498298645,0.108076593701,0.0030541598987388094,0.8502258549341503,0.0028864433594831948,0.8503680414587755,0.002941387769349168,0.845890013661189,0.7966425302502825,True,0.8503214555158914
mobilevit_s,5578632,25.435111424,6.744440832,0.122594304,6.263985152,0.036835799683,2.154894281432,23.129732131958,0,0.775201612903226,1.75543987751007,0.976018190928246,0.823084677419355,0.800907258064516,0.845262096774193,0.83820564516129,0.839213709677419,0.872479838709677,0.839717741935484,0.836189516129032,0.836189516129032,1,Other,1,derma_pt,0.7303337445644055,7,0.872479838709677,5.262257097571428,3.304247447422572,0.3078420402045714,0.016547756891924968,0.8582772750168346,0.014659762514879156,0.8598742858859378,0.016476318902681933,0.8525022318456253,0.7018689329228548,False,0.8583375947720517
tinynet_a,6187972,25.435111424,4.81296384,0.122365952,4.244470784,0.023763672367,1.342647488743,15.1030969619751,0,0.817036290322581,1.00863809585571,0.97787781692531,0.810483870967742,0.815020161290323,0.829637096774193,0.831149193548387,0.830141129032258,0.835181451612903,0.856350806451613,0.852822580645161,0.854838709677419,1,CNN,1,derma_pt,0.7817416544037297,8,0.856350806451613,2.970459045875,1.887887120246888,0.167830936092875,0.0074916909373145355,0.849982996539566,0.0064081081729612036,0.8508981590045384,0.0073998731319265204,0.8451815317518426,0.7431221998207886,True,0.8500604668425122
ese_vovnet19b_dw,6543080,25.435111424,3.839885312,0.133867008,3.329199616,0.020419759188,1.153716394135,12.8917181491852,0,0.836189516129032,0.967909288406372,0.986301369863014,0.845262096774193,0.818548387096774,0.830645161290323,0.846270161290323,0.870967741935484,0.852318548387097,0.86491935483871,0.859879032258064,0.863407258064516,1,CNN,1,derma_pt,0.7991938361634837,6,0.870967741935484,3.403293198,2.148619691530867,0.1922860656891666,0.009202039991041324,0.8630261408738488,0.007849388688501028,0.864184422504697,0.009070722702139815,0.8580148181805696,0.7870181099920762,True,0.8631384523803873
densenet121,7978856,25.435111424,6.25999872,0.154098176,5.689198592,0.040154341279,2.168334429053,25.2514414787292,0,0.802923387096774,1.88781154155731,0.972878921521853,0.796875,0.808467741935484,0.817036290322581,0.804939516129032,0.827620967741935,0.841733870967742,0.827116935483871,0.836189516129032,0.813004032258064,1,CNN,0,derma_pt,0.7020763538073311,7,0.841733870967742,5.736334468428572,3.6073487826756,0.3097620612932857,0.01842107899152822,0.8265086891183092,0.014772920327995352,0.8294800285916936,0.01841867974101006,0.8207066158230046,0.6897598056445104,True,0.8265106362560043
densenetblur121d,7998088,25.435111424,6.83671552,0.154417152,6.432128,0.043679905148,2.336874925429,27.716952085495,0,0.781754032258065,2.06000480651855,0.978025114155251,0.815020161290323,0.780745967741936,0.829637096774193,0.814516129032258,0.842741935483871,0.820564516129032,0.830645161290323,0.842741935483871,0.852318548387097,1,CNN,0,derma_pt,0.7273137812563789,10,0.852318548387097,4.3679905148,2.7716952085495,0.2336874925429,0.013014052363034444,0.8413689290873243,0.010289411326895951,0.8436380098923112,0.013063570449140804,0.8359409678438723,0.683268079097844,True,0.8413278033571203
crossvit_9_240,8553296,25.435111424,2.344615936,0.172932096,1.929966592,0.023208169962,1.241637092978,14.4138154983521,0,0.644153225806452,1.21421144008636,0.890406355738095,0.736895161290323,0.752016129032258,0.75554435483871,0.766633064516129,0.767641129032258,0.782258064516129,0.773185483870968,0.759072580645161,0.770161290322581,1,Other,1,derma_pt,0.7057156263796772,7,0.782258064516129,3.315452851714286,2.0591164997645857,0.1773767275682857,0.008854937867950498,0.7753920163877109,0.0069706962060666145,0.7768429284619892,0.008497160416618804,0.7711149645100408,0.7547530294623451,False,0.7756670967650235
fbnetv3_b,8598464,25.435111424,4.034920448,0.149295616,3.768149504,0.023994312866,1.283695738356,15.2521965503693,0,0.740927419354839,1.10524914264679,0.69016515664314,0.790826612903226,0.780745967741936,0.777217741935484,0.793850806451613,0.683971774193548,0.741935483870968,0.675907258064516,0.67741935483871,0.60383064516129,1,CNN,1,derma_pt,0.5517393288701498,5,0.793850806451613,4.7988625732,3.05043931007386,0.2567391476712,0.014716648181187281,0.782337421855193,0.011647977073053376,0.7847105163482052,0.014849843103676952,0.7770639780679773,0.7114456031338359,True,0.7822347432441917
