model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain
dla46x_c,1068440,25.435111424,3.001024512,0.035175424,2.267537408,0.002208653717,0.331298057532,1.9331178665161133,0,0.532258064516129,0.8300625085830688,0.9985795454545454,0.5297379032258065,0.6582661290322581,0.7212701612903226,0.7162298387096774,0.7222782258064516,0.7288306451612904,0.7217741935483871,0.735383064516129,0.7389112903225806,0
dla46_c,1301400,25.435111424,2.520776704,0.03892736,1.88237312,0.01643601201,1.536767122893,1.7262487411499023,0,0.5050403225806451,0.7613178491592407,1.0,0.5473790322580645,0.7273185483870968,0.7101814516129032,0.6794354838709677,0.7147177419354839,0.7288306451612904,0.7212701612903226,0.7283266129032258,0.733366935483871,0
mobilevitv2_050,1370593,25.435111424,3.091202048,0.057043456,2.885807104,0.015260823594,1.434517417794,1.8038899898529053,0,0.6935483870967742,0.8950076580047608,0.9642857150598004,0.6839717741935484,0.7162298387096774,0.7273185483870968,0.7318548387096774,0.7192540322580645,0.7101814516129032,0.7288306451612904,0.7308467741935484,0.7399193548387096,0
mobilenetv2_050,1968680,25.435111424,2.227175424,0.050469888,1.934996992,0.010582911775,1.010668074531,1.3918373584747314,0,0.2878024193548387,0.7450794219970703,0.8417207815430381,0.6693548387096774,0.6759072580645161,0.6794354838709677,0.686491935483871,0.6980846774193549,0.7101814516129032,0.71875,0.7242943548387096,0.7308467741935484,0
semnasnet_075,2912278,25.435111424,2.791309312,0.065669632,2.116847616,0.014515844161,1.386263117347,1.7350361347198486,0,0.6789314516129032,0.7996179342269898,1.0,0.7066532258064516,0.7227822580645161,0.7293346774193549,0.7308467741935484,0.7303427419354839,0.7318548387096774,0.7323588709677419,0.7338709677419355,0.7338709677419355,0
pvt_v2_b0,3666760,25.435111424,3.883925504,0.094379008,2.32384512,0.003752036282,0.562805442276,2.9163005352020264,0,0.6693548387096774,1.1940381050109865,0.7532467544078827,0.6693548387096774,0.6779233870967742,0.6834677419354839,0.6743951612903226,0.6759072580645161,0.688508064516129,0.6985887096774194,0.6930443548387096,0.7086693548387096,0
convnext_atto,3695520,25.435111424,1.59383552,0.09386496,1.502295552,0.001902473153,0.28537097288,1.7847449779510498,0,0.6693548387096774,0.6844482421875,0.6915584423325278,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6693548387096774,0.6769153225806451,0.6703629032258065,0.6839717741935484,0
mnasnet_100,4383312,25.435111424,2.342518784,0.090456064,2.041946112,0.015662512706,1.495769963412,1.6676723957061768,0,0.6814516129032258,0.7495020866394043,1.0,0.7308467741935484,0.7459677419354839,0.7484879032258065,0.7535282258064516,0.7545362903225806,0.7520161290322581,0.751008064516129,0.751008064516129,0.751008064516129,0
spnasnet_100,4421616,25.435111424,2.524971008,0.08996864,2.236968448,0.017314696559,1.644896173128,1.8055565357208248,0,0.6910282258064516,0.82371666431427,1.0,0.7147177419354839,0.7288306451612904,0.7434475806451613,0.7434475806451613,0.7555443548387096,0.7610887096774194,0.7605846774193549,0.7626008064516129,0.7626008064516129,0
ghostnet_100,5182508,25.435111424,2.021654528,0.102040576,1.895246848,0.002228809804,0.334321470636,2.0165441036224365,0,0.6784274193548387,0.9699613332748414,0.9857954545454546,0.7227822580645161,0.7409274193548387,0.7560483870967742,0.764616935483871,0.7444556451612904,0.7288306451612904,0.7454637096774194,0.7520161290322581,0.7434475806451613,0
