model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain
sehalonet33ts,13691712,25.435111424,5.425332224,0.226709504,4.778592768,0.002462671386,0.1231335693,1.9326412677764893,0,0.6348684210526315,0.5504944801330567,0.9979166666666668,0.7845394736842105,0.7105263157894737,0.8914473684210527,0.7960526315789473,0.8470394736842105,0.8618421052631579,0.8453947368421053,0.881578947368421,0.8832236842105263,0
sebotnet33ts_256,13701984,25.435111424,6.757023744,0.229796864,5.29356032,0.002593555284,0.129677764202,2.0775187015533447,0,0.6299342105263158,0.6108479499816895,0.9958333333333332,0.725328947368421,0.8453947368421053,0.868421052631579,0.7072368421052632,0.8651315789473685,0.8667763157894737,0.8782894736842105,0.8273026315789473,0.8223684210526315,0
densenet169,14149480,25.435111424,7.358906368,0.223369728,6.875163136,0.003286435029,0.162678533957,2.5239717960357666,0,0.756578947368421,0.6854834079742431,1.0,0.875,0.8898026315789473,0.8963815789473685,0.8799342105263158,0.899671052631579,0.899671052631579,0.899671052631579,0.8963815789473685,0.8930921052631579,0
maxvit_nano_rw_256,15451148,25.435111424,9.42669824,0.266889216,8.417714176,0.004709343068,0.233112481867,3.2967283725738525,0,0.6266447368421053,0.9923224449157716,0.9770833333333332,0.8404605263157895,0.8733552631578947,0.7088815789473685,0.7845394736842105,0.774671052631579,0.8338815789473685,0.8042763157894737,0.6546052631578947,0.8634868421052632,0
gcresnext50ts,15667320,25.435111424,6.740246528,0.24425728,6.056351744,0.003426659139,0.169619627382,2.511138677597046,0,0.6743421052631579,0.8250813484191895,1.0,0.7335526315789473,0.8240131578947368,0.8125,0.8486842105263158,0.8733552631578947,0.881578947368421,0.8881578947368421,0.8898026315789473,0.8898026315789473,0
dla34,15742104,25.435111424,2.952790016,0.253594112,2.2739072,0.001265814883,0.062657836707,1.292522668838501,0,0.8305921052631579,0.3444847345352173,1.0,0.8009868421052632,0.9095394736842104,0.8042763157894737,0.8273026315789473,0.8881578947368421,0.9029605263157896,0.8980263157894737,0.8963815789473685,0.8947368421052632,0
ecaresnet26t,16011916,25.435111424,3.833593856,0.254546432,3.374299136,0.001540023166,0.076231146723,1.425100803375244,0,0.6266447368421053,0.3882570028305053,1.0,0.6266447368421053,0.6546052631578947,0.8223684210526315,0.8799342105263158,0.8914473684210527,0.8914473684210527,0.8947368421052632,0.8947368421052632,0.8947368421052632,0
ecaresnet26t,16011916,25.435111424,3.833593856,0.25507072,3.374299136,0.001539238325,0.076192297081,1.4315071105957031,0,0.6266447368421053,0.3909371852874755,1.0,0.6266447368421053,0.6546052631578947,0.8223684210526315,0.8799342105263158,0.8914473684210527,0.8914473684210527,0.8947368421052632,0.8947368421052632,0.8947368421052632,0
ecaresnet26t,16011916,25.435111424,3.833593856,0.254546432,3.374299136,0.00153161655,0.075815019248,1.4295761585235596,0,0.6266447368421053,0.3891578674316406,1.0,0.6266447368421053,0.6546052631578947,0.8223684210526315,0.8799342105263158,0.8914473684210527,0.8914473684210527,0.8947368421052632,0.8947368421052632,0.8947368421052632,0
resnet26d,16014408,25.435111424,3.351248896,0.252733952,2.937714176,0.001132974729,0.056082249095,1.2708353996276855,0,0.6398026315789473,0.3549742937088013,1.0,0.7828947368421053,0.8536184210526315,0.9144736842105264,0.9144736842105264,0.9013157894736842,0.8930921052631579,0.8881578947368421,0.8865131578947368,0.8898026315789473,0
maxxvit_rmlp_nano_rw_256,16779628,25.435111424,6.675234816,0.28833792,5.648976896,0.004745993842,0.234926695161,3.404855489730835,0,0.6266447368421053,0.95693199634552,0.7590909090909091,0.6217105263157895,0.6266447368421053,0.6266447368421053,0.6266447368421053,0.6266447368421053,0.6266447368421053,0.6266447368421053,0.6266447368421053,0.6266447368421053,0
seresnext26t_32x4d,16806976,25.435111424,4.745854976,0.261513728,4.107323392,0.002271309991,0.112429844575,1.817973136901856,0,0.6266447368421053,0.4682861328125,1.0,0.7088815789473685,0.8766447368421053,0.7220394736842105,0.7450657894736842,0.8865131578947368,0.8782894736842105,0.8930921052631579,0.8914473684210527,0.899671052631579,0
seresnext26d_32x4d,16809512,25.435111424,4.779409408,0.263125504,4.140907008,0.00218004322,0.107912139392,1.782487154006958,0,0.6266447368421053,0.4709895610809326,1.0,0.8092105263157895,0.8223684210526315,0.875,0.8832236842105263,0.8700657894736842,0.881578947368421,0.8914473684210527,0.8930921052631579,0.8930921052631579,0
dla60x,17352344,25.435111424,6.798966784,0.272513536,5.562118656,0.00334550489,0.165602492043,2.494588851928711,0,0.6842105263157895,0.6117154836654664,0.9979166666666668,0.7828947368421053,0.8322368421052632,0.9095394736842104,0.9013157894736842,0.90625,0.90625,0.868421052631579,0.8667763157894737,0.8651315789473685,0
resnet32ts,17963616,25.435111424,4.88636416,0.293707264,4.270215168,0.001823163353,0.09024658599,1.5539746284484863,0,0.6299342105263158,0.4250045537948608,1.0,0.6282894736842105,0.6776315789473685,0.8207236842105263,0.8042763157894737,0.924342105263158,0.8914473684210527,0.8963815789473685,0.868421052631579,0.8898026315789473,0
edgenext_base,18511292,25.435111424,4.777312256,0.31887104,4.318250496,0.003393368312,0.167971731435,2.631608724594116,0,0.7680921052631579,0.6580594778060913,0.9895833333333334,0.9177631578947368,0.8338815789473685,0.9226973684210528,0.8799342105263158,0.9111842105263158,0.774671052631579,0.7976973684210527,0.9391447368421052,0.8470394736842105,0
eca_resnet33ts,19676302,25.435111424,5.058330624,0.325429248,4.492609024,0.001934362575,0.095750947452,1.6394224166870115,0,0.7105263157894737,0.4462043046951294,1.0,0.8256578947368421,0.7105263157894737,0.819078947368421,0.8108552631578947,0.7976973684210527,0.875,0.8256578947368421,0.881578947368421,0.8898026315789473,0
seresnet33ts,19779200,25.435111424,5.131730944,0.32576512,4.489670144,0.001939547805,0.096007616364,1.6500811576843262,0,0.8207236842105263,0.4484868049621582,1.0,0.8026315789473685,0.8223684210526315,0.8667763157894737,0.8848684210526315,0.912828947368421,0.9029605263157896,0.8980263157894737,0.8980263157894737,0.8980263157894737,0
gcresnet33ts,19880698,25.435111424,5.161091072,0.326391808,4.490863104,0.001829974582,0.090583741787,1.668790578842163,0,0.6332236842105263,0.4542783975601196,1.0,0.6365131578947368,0.756578947368421,0.7993421052631579,0.9177631578947368,0.9161184210526316,0.9095394736842104,0.912828947368421,0.912828947368421,0.912828947368421,0
densenet201,20013928,25.435111424,9.256828928,0.313831936,8.852406784,0.004600138796,0.227706870384,3.2145044803619385,0,0.6266447368421053,0.8816378116607666,1.0,0.8273026315789473,0.8536184210526315,0.919407894736842,0.8717105263157895,0.8848684210526315,0.8848684210526315,0.8848684210526315,0.8865131578947368,0.8848684210526315,0
cspresnext50,20569896,25.435111424,5.580521472,0.324450816,5.182861824,0.002502064587,0.123852197061,1.9477899074554443,0,0.6578947368421053,0.5313955068588256,1.0,0.6546052631578947,0.7713815789473685,0.8963815789473685,0.912828947368421,0.90625,0.90625,0.90625,0.90625,0.90625,0
cspresnext50,20569896,25.435111424,5.580521472,0.324450816,5.182861824,0.002475262005,0.122525469259,1.947247743606568,0,0.6578947368421053,0.5302200794219971,1.0,0.6546052631578947,0.7713815789473685,0.8963815789473685,0.912828947368421,0.90625,0.90625,0.90625,0.90625,0.90625,0
